id,number
0,22
1,0
2,5
3,3
4,0
5,20
6,3
7,19
8,0
9,0
10,45
11,2
12,0
13,10
14,1
15,54
16,2
17,165
18,4
19,5
20,15
21,46
22,0
23,46
24,10
25,42
26,3
27,8
28,192
29,170
30,1
31,0
32,-10
33,0
